,,,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Summer Term,Fall Term,Winter Term,Spring Term,Annual,, Lab space ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-305,temp Valley Ftbl Ctr,0143 - Valley Football Center,"134,700","141,000","142,200","120,000","100,200","106,200","97,800","97,800","106,500","88,800","87,000","88,200","417,900","326,400","302,100","264,000","1,310,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-997-LG,Snell Main Master-Note C,0100 - Snell Hall,"140,400","90,000","97,200","101,250","101,250","88,200","108,900","195,300","112,500","100,800","86,400","84,600","327,600","290,700","416,700","271,800","1,306,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017-243-NI,WENIGER,0017 - Weniger Hall,"146,000","117,600","148,800","129,000","132,600","110,400","48,400","75,600","95,700","121,700","48,800","196,000","412,400","372,000","219,700","366,500","1,370,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202-990-BO,Orchard Ct,0202 - Orchard Court Apartments,"67,200","48,000","76,800","86,400","86,400","43,200","244,800","201,600","105,600","128,000","83,200","264,000","192,000","216,000","552,000","475,200","1,435,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121-292-NI,Gill,0121 - Gill Coliseum,"121,200","94,400","96,400","96,400","96,400","81,200","104,400","138,400","115,600","115,600","85,600","31,200","312,000","274,000","358,400","232,400","1,176,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193-555-NI,McNary Dining-Note A,0193 - McNary Dining Center,"65,782","73,639","100,734","103,677","93,600","64,397","111,947","140,362","120,574","162,988","103,606","56,684","240,155","261,674","372,883","323,278","1,197,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-375,Nypro Building-4700 SW Research Way,0519 - Nypro Building,"120,300","119,700","112,800","102,600","86,100","96,900","90,000","88,800","90,000","81,000","81,600","87,000","352,800","285,600","268,800","249,600","1,156,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-141,15th & Monroe-Engin. Bldg,0022 - Owen Hall,"114,720","106,800","107,600","90,720","83,600","91,600","81,600","77,760","83,280","80,160","90,720","100,400","329,120","265,920","242,640","271,280","1,108,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-404,1045 SW Madison Ave Corvallis OR,0281 - 11th and Madison Student Housing,"59,600","54,560","59,040","76,800","90,240","96,400","97,440","97,440","87,920","75,840","76,960","77,360","173,200","263,440","282,800","230,160","949,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-368,155 NW Kings Blvd,0199 - The Gem,"103,200","93,360","98,880","91,440","73,680","71,760","63,360","69,600","64,560","60,480","71,520","126,960","295,440","236,880","197,520","258,960","988,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
