,,,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Summer Term,Fall Term,Winter Term,Spring Term,Annual,, Lab space ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-397-BI,Snell Hall-C,0100 - Snell Hall,"10,440","20,700","20,520","16,380","16,380","13,320","15,480","29,700","18,900","19,980","33,120",0,"51,660","46,080","64,080","53,100","214,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364-001-E,Oldfield Animal Teaching Facility,0364  - James E. Oldfield Animal Teaching Facility,"12,379","9,377","8,620","10,025","10,026","12,713","24,687","35,685","15,263","17,100","55,326","6,837","30,376","32,764","75,635","79,263","218,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-182,Kelley Eng Center,0003 - Kelley Engineering Center,"17,100","14,700","15,900","18,000","18,300","21,900","19,800","19,200","20,100","17,700","20,100","24,300","47,700","58,200","59,100","62,100","227,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-215,Apperson Hall 15th & Monroe ,0001 - Kearney Hall,"17,700","23,100","18,900","17,400","18,000","18,300","15,600","17,400","18,600","17,100","20,100","20,400","59,700","53,700","51,600","57,600","222,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192-554-BI,Callahan-Note A,0192 - Callahan Hall,"8,620","9,279","14,122","19,485","18,130","13,994","19,321","27,396","22,433","28,314","18,362","10,694","32,021","51,609","69,150","57,370","210,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-998-LG,Snell TV,0100 - Snell Hall,"22,320","13,680","15,300","16,290","16,290","13,140","15,300","30,960","18,180","17,820","16,380","15,300","51,300","45,720","64,440","49,500","210,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-254,Outdoor Rec Center ,0171 - Outdoor Rec Maintenance Pavilion,600,120,560,"20,200","32,280","37,920","18,160","29,000","24,000","12,760","14,640","11,280","1,280","90,400","71,160","38,680","201,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-055,Wave tank,0137 - Hinsdale Wave Research Lab,0,0,0,"15,663","24,600","30,600","39,000","39,000","36,900",0,0,0,0,"70,863","114,900",0,"185,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191-556-BI,Wilson-Note A,0191 - Wilson Hall,"8,416","8,552","13,770","18,524","17,578","12,849","15,346","21,854","19,181","25,554","18,448","9,382","30,738","48,951","56,381","53,384","189,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-000-LG,Snell Café-Note C,0100 - Snell Hall,"21,120","14,760","17,040","15,240","15,240","11,640","13,440","25,200","15,720","14,280","12,480","12,480","52,920","42,120","54,360","39,240","188,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018-Bexell,BEXELL,0018 - Bexell Hall,"18,000","15,200","18,400","15,000","15,000","9,200","10,400","19,600","15,200","13,600","18,000","10,000","51,600","39,200","45,200","41,600","177,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-551-LG,CLARK  LAB,0088 - Clark Laboratory,"16,800","13,920","19,080","13,800","13,800","10,560","13,200","18,240","15,120","9,840","16,320","21,360","49,800","38,160","46,560","47,520","182,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142-000-BI,Indoor Practice Facility,0142 - Merrit Truax Indoor Practice Center,"19,236","15,408","12,646","12,870","12,870","8,192","10,163",665,"26,244","17,463","21,533","8,243","47,290","33,932","37,072","47,239","165,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102-916-NI,Waldo,0102 - Waldo Hall,"17,200","13,440","12,560","13,960","10,960","9,800","11,640","23,280","14,320","12,720","11,520","10,840","43,200","34,720","49,240","35,080","162,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-354,1600 SW Monroe Ave Corvallis OR,0002 - Merryfield Hall,"11,920","12,000","11,360","10,720","12,320","15,840","15,920","17,440","17,200","12,480","11,920","11,040","35,280","38,880","50,560","35,440","160,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053-813-BI,McAlexander-C,0053 - McAlexander Fieldhouse,"10,880","7,600","9,360","7,680","7,680","16,320","9,520","22,000","13,520","11,920","11,440","9,040","27,840","31,680","45,040","32,400","136,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-201,Lorenz Soccer Fld LightsB,5015 - Lorenz Soccer Field,"6,040","5,560","7,360","8,880","15,160","16,440","15,320","16,760","17,160","11,080","7,720","5,080","18,960","40,480","49,240","23,880","132,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-255,120SW26th St-HallieFd,0077 - Hallie E. Ford Center,"13,920","15,080","14,120","10,640","9,720","10,440","8,680","8,600","8,840","8,160","8,720","8,840","43,120","30,800","26,120","25,720","125,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-308,Champinefu Lodge,0194 - Champinefu Lodge,"9,120","9,240","8,800","9,120","10,400","12,040","13,320","12,640","12,240","9,320","8,920","8,440","27,160","31,560","38,200","26,680","123,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-270,2200 SW Western Blvdb,4028 - Western Blvd,"3,320","2,440","3,600","8,560","14,440","16,440","12,040","14,320","14,120","10,040","11,760","8,080","9,360","39,440","40,480","29,880","119,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172-676-BI,OCEANOGRAPHY STAGING BLDG (CYCLATRON)   ,0172 - Oceanography Staging Bldg (Cyclatron),29,0,0,500,500,0,"99,000","10,000",325,146,4,0,29,"1,000","109,325",150,"110,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190-McNary,McNary Chiller,0190 - McNary Hall,"32,752","34,102","21,770","5,776",459,62,152,148,"2,291","2,544","9,140","20,941","88,624","6,297","2,591","32,625","130,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-311,3531 SW Campus Way,0366 - Precision Agricultural Systems Center,0,0,0,0,0,"16,200","30,080","30,080","32,640",0,0,0,0,"16,200","92,800",0,"109,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-307,Oxford House June'16,0220 - Oxford House,"8,760","7,480","7,440","7,320","8,040","9,680","11,120","10,560","9,640","8,520","7,800","8,480","23,680","25,040","31,320","24,800","104,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-999-LG,Snell Hall,0100 - Snell Hall,"15,240","13,800","11,880","6,060","6,060","4,800","5,520","10,080","7,680","6,960","7,320","8,400","40,920","16,920","23,280","22,680","103,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102-711-NI,Waldo,0102 - Waldo Hall,"7,120","7,680","5,920","15,500","8,300","9,200","5,040","11,800","10,160","7,200","7,120","8,200","20,720","33,000","27,000","22,520","103,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-405,855 NW 8th St Corvallis OR,0886 - 855 NW 8TH STREET,"6,720","6,080","6,560","7,040","8,640","10,080","12,160","10,720","8,480","7,680","6,880","6,720","19,360","25,760","31,360","21,280","97,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036-432-GE,Valley Lib. AT&T,0036 - The Valley Library,"11,564","6,851","8,356","8,496","8,496","3,847","10,167","9,056","9,449","6,332","6,951","8,396","26,771","20,839","28,672","21,679","97,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343-552-BO,Dairy Barn,0343 - DC - Dairy Barn,"7,880","5,920","5,240","6,640","7,920","6,800","19,040","7,880","7,960","8,700","5,040","5,280","19,040","21,360","34,880","19,020","94,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118-000-E,Reed Lodge,0118 - Reed Lodge,"13,600","9,920","10,720","8,000","8,000","2,880","7,360","6,720","6,720","4,160","7,360","6,240","34,240","18,880","20,800","17,760","91,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-253,Outdoor Rec Center ,0171 - Outdoor Rec Maintenance Pavilion,"4,440","4,040","4,080","6,760","7,960","8,640","8,240","9,880","10,320","8,360","7,280","6,480","12,560","23,360","28,440","22,120","86,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067-915-NI,BALLARD EXT.,0067 - Ballard Extension Hall,"8,400","11,680","7,400","6,280","6,280","2,720","7,520","14,040",280,"6,500","7,000","19,300","27,480","15,280","21,840","32,800","97,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-849-NI,GILMORE,0084 - Gilmore Hall,"8,480","7,040","7,760","6,480","6,480","5,440","6,320","9,600","8,480",320,"11,000","13,120","23,280","18,400","24,400","24,440","90,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029-481-NO,BENTON,0027 -Community Hall,"7,040","4,320","5,280","7,880","7,880","3,920","8,560","10,720","8,640","5,200","7,440","6,480","16,640","19,680","27,920","19,120","83,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-406,430 SW Langton Pl Hitting Corvallis OR,0108 - Goss Stadium ,3320,"3,600","4,200","4,600","7,200","10,240","14,120","13,560","5,280","6,600","4,120","4,240","11,120","22,040","32,960","14,960","81,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-326,End of Smith Ln Fish & W-Note F,0485 - Fisheries And Wildlife Office,"7,466","5,461","5,951","6,692","6,944","7,734","7,086","6,277","6,540","6,225","6,262","6,493","18,878","21,370","19,903","18,980","79,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-490-NO,HOVELAND,0092 - Hovland Hall,"8,640","4,560","7,680","5,280","6,240","4,080","6,720","10,320","6,240","5,280","7,200","5,000","20,880","15,600","23,280","17,480","77,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112-359-BI,Poling,0112 - Poling Hall,"3,105","3,474","6,301","6,829","6,651","4,875","8,100","8,200","5,900","10,505","7,588","4,710","12,880","18,355","22,200","22,803","76,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139-USDA-CH,USDA Totalizer-Note G,0139 - West Greenhouse (W6&7),"9,492","6,909","8,364","6,402","5,188","4,485","5,155","7,213","6,050","3,555","7,900","5,159","24,765","16,076","18,418","16,614","75,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-268,126 SW McKenzieOceanObserv,7007 - Fiber-optic Cable Infrastructure,"7,720","7,280","7,040","5,960","6,120","6,520","5,920","5,760","6,160","5,640","5,760","5,200","22,040","18,600","17,840","16,600","75,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-194,General-811 SW Jefferson,0882 - Autzen House,"4,840","4,280","4,440","4,880","6,200","8,080","9,240","9,040","8,200","5,440","4,920","4,760","13,560","19,160","26,480","15,120","74,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-062,Dorm Svc Bldg,0097 - UHDS Maintenance Center,"6,560","7,600","7,280","5,680","5,680","6,800","7,600","5,920","6,000","5,200","5,120","5,040","21,440","18,160","19,520","15,360","74,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033-941-LG,Gladys Valley,0033 - Gladys Valley Gymnastics Center,0,"7,100","5,300","7,030","7,700","7,100","7,700","7,500","6,600","5,900","7,500","10,000","12,400","21,830","21,800","23,400","79,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036-044-GE,Valley Lib. T-Mobile,0036 - The Valley Library,"8,721","5,189","6,282","6,583","6,583","3,013","7,912","7,133","7,440","4,140","6,248","6,622","20,192","16,178","22,485","17,010","75,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-000-E,Energy Center,0078 - Energy Center,"11,520",,0,"8,280","8,600","8,160","7,320",960,"8,400","2,880","12,840","8,160","11,520","25,040","16,680","23,880","77,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-401,34306 NE Electric Rd,0482 - VF Little Greenhouse,"3,320","3,400","4,920","6,080","7,560","8,320","9,080","8,560","6,880","4,920","4,880","4,800","11,640","21,960","24,520","14,600","72,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-153,Child Care Ctr,0188 - Child Care Center,"8,160","8,720","7,760","5,840","5,120","5,360","5,040","4,880","5,120","5,280","5,600","6,160","24,640","16,320","15,040","17,040","73,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106-506-NO,MORELAND,0106 - Moreland Hall,"3,720","4,320","4,680","9,000","4,800","5,760","7,440","7,900","8,400","6,000",0,"9,360","12,720","19,560","23,740","15,360","71,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-359,Dixon House,0195 - Dixon House,"3,920","3,960","4,240","5,200","6,360","7,080","6,800","7,240","7,080","4,400","4,720","5,120","12,120","18,640","21,120","14,240","66,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-031,General,0069 - Bates Hall (Family Study Center),0,0,0,0,0,"14,320","15,600","15,600","13,680",0,0,0,0,"14,320","44,880",0,"59,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221-018-BO,OCEAN. SHOP,0221 - Marine Geology Core Lab,"6,600","7,300","7,200","2,600","5,127","6,200","5,700","5,180","2,400","5,400","4,700","16,800","21,100","13,927","13,280","26,900","75,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
