,,,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,Summer Term,Fall Term,Winter Term,Spring Term,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-365,850 SW 35th St (New Shops),0864 - Western Shops,"20,400","21,600","18,600","18,600","24,000","30,600","30,600","31,500","27,000","25,500",0,0,"60,600","73,200","89,100","25,500","248,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119-000-BI,Hawley,0119 - Hawley Hall,"17,300","17,300","17,300","17,300","17,300","17,300","17,300","17,300","24,881","21,607","37,474","21,776","51,900","51,900","59,481","80,857","244,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-215,Apperson Hall 15th & Monroe ,0001 - Kearney Hall,"20,400","21,600","15,900","17,700","20,100","18,900","15,600","18,300","18,600","17,700","18,900","20,700","57,900","56,700","52,500","57,300","224,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213-000-E,Forest Complex (Peavy Forest Science Center),Peavy,"16,400","17,818","19,632","15,178","18,796","18,307","17,899","22,680","13,738","16,893","16,043","21,307","53,850","52,281","54,317","54,244","214,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192-554-BI,Callahan-Note A,0192 - Callahan Hall,"10,513","5,664","17,526","24,884","17,050","11,167","30,259","22,521","19,164","19,111","21,899","13,454","33,703","53,101","71,944","54,464","213,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364-001-E,Oldfield Animal Teaching Facility,0364  - James E. Oldfield Animal Teaching Facility,"13,287","11,918","11,922","13,591","15,109","16,485","19,400","46,499","16,006","16,793","16,043","11,161","37,127","45,185","81,905","43,997","208,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-311,3531 SW Campus Way,0366 - Precision Agricultural Systems Center,"18,640","21,120","18,960","18,080","20,480","22,560","22,480","20,800","20,480","22,240",0,0,"58,720","61,120","63,760","22,240","205,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-998-LG,Snell TV,0100 - Snell Hall,"14,040","13,140","14,040","11,520","15,120","9,900","20,880","27,000","14,400","17,820","17,460","22,860","41,220","36,540","62,280","58,140","198,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142-000-BI,Indoor Practice Facility,0142 - Merrit Truax Indoor Practice Center,"8,316","15,149","10,692","12,251","22,666","17,759","9,248","35,383","20,022","13,813","14,549","15,292","34,157","52,676","64,653","43,654","195,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018-Bexell,BEXELL,0018 - Bexell Hall,"18,000","18,800","17,600","16,400","17,200","13,200","14,000","18,900","12,800","14,000","13,200","18,000","54,400","46,800","45,700","45,200","192,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102-916-NI,Waldo,0102 - Waldo Hall,"13,960","14,280","13,880","14,080","15,720","16,280","13,080","20,880","11,120","13,360","13,560","15,440","42,120","46,080","45,080","42,360","175,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-551-LG,CLARK  LAB,0088 - Clark Laboratory,"17,240","10,320","15,120","10,200","13,080","15,240","13,200","19,080","11,040","13,560","14,880","19,200","42,680","38,520","43,320","47,640","172,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-000-LG,Snell Café-Note C,0100 - Snell Hall,"13,200","13,200","14,280","12,720","15,840","12,960","15,480","17,160","10,680","12,120","12,840","17,400","40,680","41,520","43,320","42,360","167,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-201,Lorenz Soccer Fld LightsB,5015 - Lorenz Soccer Field,"5,000","7,320","8,560","9,560","19,160","19,360","19,800","23,440","18,160","19,800","10,000","6,400","20,880","48,080","61,400","36,200","166,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101-852-BO,Seed Lab,0101 - Seed Lab,"15,360","16,000","16,640","12,960","13,200","13,200","11,360","15,760","10,000","12,160","11,600","15,120","48,000","39,360","37,120","38,880","163,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028-939-LG,EDUCATION,0028 - Joyce Collin Furman Hall,"10,500","15,300",0,"16,600","14,250","12,240","17,000","17,100","14,500","16,100","12,600","14,300","25,800","43,090","48,600","43,000","160,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-269,693 SW 26th,0206 - Beth Ray Center For Academic Support ,"12,760","14,440","13,280","13,040","16,280","21,520","21,280","20,200","14,760","12,000",0,0,"40,480","50,840","56,240","12,000","159,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-254,Outdoor Rec Center ,0171 - Outdoor Rec Maintenance Pavilion,640,160,480,"14,040","24,600","26,880","12,000","20,160","16,240","12,600","14,720","12,280","1,280","65,520","48,400","39,600","154,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-354,1600 SW Monroe Ave Corvallis OR,0002 - Merryfield Hall,"11,440","13,120","9,120","10,080","13,200","17,280","14,640","13,600","12,880","13,200","11,440","10,400","33,680","40,560","41,120","35,040","150,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-325,850 SW 35th St,0865 - Western Building,"16,080","17,760","14,400","13,200","14,880","16,080","15,840","16,560","13,440","12,000",0,0,"48,240","44,160","45,840","12,000","150,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191-556-BI,Wilson-Note A,0191 - Wilson Hall,"9,600","9,600","9,600","9,600","9,600","9,600","9,600","9,600","16,586","14,201","26,951","14,124","28,800","28,800","35,786","55,276","148,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-031,General,0069 - Bates Hall (Family Study Center),"10,320","12,000","9,040","8,000","10,800","16,800","16,880","22,000","14,880","13,040",0,0,"31,360","35,600","53,760","13,040","133,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-308,Champinefu Lodge,0194 - Champinefu Lodge,"10,040","10,880","9,400","9,840","11,560","15,200","13,800","14,080","10,520","10,160","8,440","9,000","30,320","36,600","38,400","27,600","132,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053-813-BI,McAlexander-C,0053 - McAlexander Fieldhouse,"7,120","5,680","7,680","10,720","13,520","11,120","10,000","18,240","1,760","18,720","11,760","14,240","20,480","35,360","30,000","44,720","130,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-255,120SW26th St-HallieFd,0077 - Hallie E. Ford Center,"13,280","14,440","11,440","9,320","9,920","9,480","9,560","8,840","8,600","8,760","8,080","10,240","39,160","28,720","27,000","27,080","121,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-270,2200 SW Western Blvdb,4028 - Western Blvd,"1,800","2,600","3,520","6,280","13,040","16,360","12,920","14,560","13,480","11,320","13,200","9,240","7,920","35,680","40,960","33,760","118,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-307,Oxford House June'16,0220 - Oxford House,"7,080","6,600","6,360","6,600","8,160","10,200","9,440","11,840","10,320","10,160","8,840","8,560","20,040","24,960","31,600","27,560","104,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-999-LG,Snell Hall,0100 - Snell Hall,"12,240","13,200","9,960","7,320","7,680","7,200","7,200","10,080","4,920","5,880","6,240","9,720","35,400","22,200","22,200","21,840","101,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-000-E,Energy Center,0078 - Energy Center,"9,840","12,000","10,920","7,080","7,560","8,160","7,560","9,360","5,280","6,360","6,120","8,400","32,760","22,800","22,200","20,880","98,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-223,Hazard Disposal Site 195 SW 35th,0141 - Environmental Health & Safety Annex,"9,283","10,242","7,085","6,482","10,658","10,926","11,283","11,208","10,266","10,545",0,0,"26,610","28,066","32,757","10,545","97,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-401,34306 NE Electric Rd,0482 - VF Little Greenhouse,"3,200","3,120","5,240","6,040","8,560","14,800","15,200","15,280","9,800","7,920","4,040","3,560","11,560","29,400","40,280","15,520","96,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-326,End of Smith Ln Fish & W-Note F,0485 - Fisheries And Wildlife Office,"8,265","8,795","8,353","8,114","8,150","8,310","8,757","6,880","6,850","7,184","6,485","6,792","25,413","24,574","22,487","20,461","92,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118-000-E,Reed Lodge,0118 - Reed Lodge,"8,480","11,520","9,920","10,560","6,880","4,160","8,160","5,920","5,600","5,280","8,320","6,080","29,920","21,600","19,680","19,680","90,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-849-NI,GILMORE,0084 - Gilmore Hall,"8,400","8,480","7,760","5,920","6,880","8,080","6,560","10,160","5,200","7,040","5,840","7,840","24,640","20,880","21,920","20,720","88,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343-552-BO,Dairy Barn,0343 - DC - Dairy Barn,"6,600","5,600","6,280","5,800","6,640","8,040","7,400","12,560","6,120","7,680","8,240","7,080","18,480","20,480","26,080","23,000","88,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190-McNary,McNary Chiller,0190 - McNary Hall,"20,735","24,128","15,282","10,478",545,79,163,104,172,419,"5,299","10,000","60,145","11,102",439,"15,718","87,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036-432-GE,Valley Lib. AT&T,0036 - The Valley Library,"3,400","7,982","7,396","9,195","7,439","5,109","9,054","8,389","6,727","7,239","7,943","7,002","18,778","21,743","24,170","22,184","86,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023-003-E,Learning Innovation Center,0023 - Learning Innovation Center,"9,298","10,979","9,369","10,168","11,305","11,305","11,305","11,305",0,0,0,0,"29,647","32,778","22,610",0,"85,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-268,126 SW McKenzieOceanObserv,7007 - Fiber-optic Cable Infrastructure,"7,440","8,240","7,440","5,800","6,840","7,280","7,440","6,800","6,880","7,240","6,800","6,800","23,120","19,920","21,120","20,840","85,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-253,Outdoor Rec Center ,0171 - Outdoor Rec Maintenance Pavilion,"4,160","4,520","3,920","5,440","8,240","7,880","7,560","9,760","9,600","8,960","6,360","5,840","12,600","21,560","26,920","21,160","82,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033-941-LG,Gladys Valley,0033 - Gladys Valley Gymnastics Center,"8,075","7,200",0,"7,000","7,700","7,100","7,500","7,500","6,600","5,900","7,500","9,900","15,275","21,800","21,600","23,300","81,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-194,General-811 SW Jefferson,0882 - Autzen House,"4,600","4,640","4,520","4,480","6,840","10,440","10,240","11,400","8,000","7,120","4,840","4,680","13,760","21,760","29,640","16,640","81,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-405,855 NW 8th St Corvallis OR,0886 - 855 NW 8TH STREET,,100,100,"7,360","8,480","11,520","10,240","11,520","9,920","8,000","7,040","6,560",200,"27,360","31,680","21,600","80,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-153,Child Care Ctr,0188 - Child Care Center,"7,600","8,960","7,440","6,240","6,000","6,000","5,840","5,360","5,280","5,760","5,920","6,720","24,000","18,240","16,480","18,400","77,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-490-NO,HOVELAND,0092 - Hovland Hall,"5,280","6,000","6,000","5,760","6,480","7,920","6,240","11,520","5,040","5,760","4,800","6,240","17,280","20,160","22,800","16,800","77,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139-USDA-CH,USDA Totalizer-Note G,0139 - West Greenhouse (W6&7),"6,835","7,149","7,673","6,227","6,182","4,986","3,627","5,587","4,068","6,814","7,086","8,981","21,657","17,395","13,282","22,881","75,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106-506-NO,MORELAND,0106 - Moreland Hall,"4,080","5,640","5,760","5,880","7,200","7,200","9,480","7,920","4,560","5,280","5,640","6,240","15,480","20,280","21,960","17,160","74,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029-481-NO,BENTON,0027 -Community Hall,"3,520","4,720","2,800","7,600","7,200","4,800","8,480","8,240","6,880","6,240","7,120","6,240","11,040","19,600","23,600","19,600","73,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112-359-BI,Poling,0112 - Poling Hall,"3,561","2,681","3,923","11,238","5,733","3,257","8,801","6,762","5,549","5,363","9,460","5,654","10,165","20,228","21,112","20,477","71,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-062,Dorm Svc Bldg,0097 - UHDS Maintenance Center,"6,080","7,520","6,160","5,440","5,120","6,960","6,560","6,640","5,520","5,280","4,400","5,120","19,760","17,520","18,720","14,800","70,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221-018-BO,OCEAN. SHOP,0221 - Marine Geology Core Lab,"6,800","7,700","7,000","3,100","5,000","6,100","5,900","5,300","3,100","5,100","4,900","5,900","21,500","14,200","14,300","15,900","65,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
