,,,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,Summer Term,Fall Term,Winter Term,Spring Term,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-305,temp Valley Ftbl Ctr,0143 - Valley Football Center,"124,200","136,200","127,500","114,900","121,500","125,400","123,600","113,700","111,000","115,200","118,800","126,600","387,900","361,800","348,300","360,600","1,458,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-063,General-Pri Mtr Western & Stamm,0545 - Oak Creek Building,"104,000","118,000","98,000","93,000","125,000","148,000","156,000","162,000","133,000","124,000","100,000","97,000","320,000","366,000","451,000","321,000","1,458,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193-555-NI,McNary Dining-Note A,0193 - McNary Dining Center,"98,148","53,483","152,247","171,875","90,210","57,682","174,636","118,954","86,379","84,036","173,094","86,914","303,878","319,767","379,969","344,044","1,347,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-375,Nypro Building-4700 SW Research Way,0519 - Nypro Building,"120,000","137,400","118,800","107,400","104,700","99,300","104,700","99,300","93,600","100,500","91,200","110,700","376,200","311,400","297,600","302,400","1,287,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-030,General,0015 - Gilbert Hall,"99,360","112,560","99,360","90,240","106,080","109,680","111,840","107,040","103,200","108,720","112,800","112,560","311,280","306,000","322,080","334,080","1,273,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202-990-BO,Orchard Ct,0202 - Orchard Court Apartments,"67,200","52,800","67,200","48,000","110,400","158,400","134,400","235,200","91,200","96,000","91,200","62,400","187,200","316,800","460,800","249,600","1,214,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-141,15th & Monroe-Engin. Bldg,0022 - Owen Hall,"112,800","131,440","108,960","105,680","106,400","98,400","98,880","86,320","85,440","89,600","87,120","98,160","353,200","310,480","270,640","274,880","1,209,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121-292-NI,Gill,0121 - Gill Coliseum,"95,600","109,600","86,400","90,000","107,600","109,600","94,000","144,000","72,800","87,600","86,800","110,000","291,600","307,200","310,800","284,400","1,194,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-997-LG,Snell Main Master-Note C,0100 - Snell Hall,"99,000","92,700","88,200","80,100","107,100","90,000","99,000","141,300","72,900","85,500","89,100","125,100","279,900","277,200","313,200","299,700","1,170,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-368,155 NW Kings Blvd,0199 - The Gem,"120,480","111,600","108,720","114,960","89,760","90,960","67,200","70,560","73,680","66,240","100,080","111,120","340,800","295,680","211,440","277,440","1,125,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
